entitytype,authoritydoc,authoritydocconceptschemename
ACCESS_ALONGSHORE_HEAVY_EQ_FEASIBILITY.E55,HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ACCESS_ALONGSHORE_HEAVY_EQ_FEASIBILITY_TYPE.E55,HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ACCESS_TYPE.E55,ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ZONE_ACROSS_SHORE_LOCATION.E55,ACROSS_SHORE_LOCATION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
PIT_ACROSS_SHORE_LOCATION.E55,ACROSS_SHORE_LOCATION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BACKSHORE.E55,BACKSHORE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BACKSHORE_TYPE.E55,BACKSHORE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BACKSHORE_VEGETATION_COVER.E55,BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BANK_POSITION.E55,BANK_POSITION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BAR-SHOAL_SUBSTRATE.E55,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55,HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BEACH_SLOPE_HEAVY_EQ_FEASIBILITY_TYPE.E55,HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BEARING_CAPACITY_HEAVY_EQ_FEASIBILITY.E55,HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
BEARING_CAPACITY_HEAVY_EQ_FEASIBILITY_TYPE.E55,HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
PIT_CHARACTER.E55,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ZONE_CHARACTER.E55,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,POLARIS
CLEAN_BELOW.E55,CLEAN_BELOW_AUTHORITY_DOCUMENT.E32.csv,POLARIS
CORAL_STRESS.E55,CORAL_STRESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
DEBRIS_AMOUNT_UNITS.E55,DEBRIS_AMOUNT_UNITS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
DEBRIS_TYPE.E55,DEBRIS_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
DISCREETS_COLLECTED.E55,DISCREETS_COLLECTED_AUTHORITY_DOCUMENT.E32.csv,POLARIS
DISTRIBUTION_TYPE.E55,DISTRIBUTION_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OBSERVATION_ESI.E55,ESI_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ZONE_ESI.E55,ESI_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ESI_TYPE.E55,ESI_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ESTIMATED_WATER_CHANGE.E55,ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ESTIMATED_WATER_DEPTH.E55,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,POLARIS
FEATURE.E55,FEATURE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
FEATURE_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
FORM_TYPE.E55,FORM_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
HUMAN_USE.E55,HUMAN_USE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
INSPECTION_COMPLETED_ALONG_ENTIRE_SEGMENT.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
LITZ_SHORELINE.E55,SHORELINE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
LITZ_SHORELINE_TYPE.E55,SHORELINE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
MEDIA_COMMENTS_TYPE.E55,MEDIA_COMMENTS_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
MEDIA_TYPE.E55,MEDIA_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
NEARSHORE_ICE_AGE_AND_THICKNESS.E55,NEARSHORE_ICE_AGE_AND_THICKNESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
NEARSHORE_ICE_CONCENTRATION.E55,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
NEARSHORE_ICE_FORM.E55,NEARSHORE_ICE_FORM_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OILED_PLANT_PARTS.E55,OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ORGANIZATION.E55,ORGANIZATION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OTHER_TYPE.E55,OTHER_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
POTENTIAL_PROTECTION_OPTIONS.E55,POTENTIAL_PROTECTION_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
POTENTIAL_PROTECTION_OPTIONS_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
POTENTIAL_TREATMENT_OPTIONS.E55,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
POTENTIAL_TREATMENT_OPTIONS_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
POTENTIAL_NEARBY_ACCESS.E55,POTENTIAL_NEARBY_ACCESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
RESOURCE_TYPE.E55,RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
RESULTS_AND_RECOMMENDATIONS.E55,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
RIVER_FEATURE.E55,RIVER_FEATURE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
RIVER_FEATURE_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ROAD_ACCESS_TYPE.E55,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ROLE.E55,ROLE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SAMPLE_TYPE.E55,SAMPLE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SCAT_STATUS.E55,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SEASON.E55,SEASON_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SEGMENT_PROTECTION_OBJECTIVES.E55,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SEGMENT_PROTECTION_STRATEGIES.E55,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SHEEN_COLOR.E55,SHEEN_COLOR_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SHORELINE.E55,SHORELINE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SHORELINE_TREATMENT_OBJECTIVES.E55,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SHORELINE_TREATMENT_STRATEGIES.E55,SHORELINE_TREATMENT_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SHORELINE_WAVES.E55,SHORELINE_WAVES_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SNOW_OR_ICE_CONDITION_TYPE.E55,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
STR_STATUS.E55,STR_STATUS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ZONE_SUBSTRATE.E55,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SUBSTRATE_DRY.E55,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SUBSTRATE_WET.E55,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SURFACE_BEARING_CAPACITY.E55,SURFACE_BEARING_CAPACITY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SURVEY_COMMENTS_TYPE.E55,SURVEY_COMMENTS_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SURVEY_METHOD.E55,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SURVEY_TYPE.E55,SURVEY_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
TARBALL_TYPE.E55,TARBALL_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
TEAM_NUMBER.E55,TEAM_NUMBER_AUTHORITY_DOCUMENT.E32.csv,POLARIS
THICKNESS.E55,THICKNESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
TIDE_DIRECTION.E55,TIDE_OR_WATER_DIRECTION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
TREATMENT.E55,TREATMENT_AUTHORITY_DOCUMENT.E32.csv,POLARIS
WATER_LEVEL.E55,WATER_LEVEL_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ARCHES_RESOURCE_CROSS-REFERENCE_RELATIONSHIP_TYPES.E55,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,ARCHES
WEATHER.E55,WEATHER_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SUTZ_SHORELINE.E55,SHORELINE_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SUTZ_SHORELINE_TYPE.E55,SHORELINE_TYPE_AUTHORITY_DOCUMENT.E32.csv,ARCHES
CLIFF_SLOPE.E55,CLIFF_SLOPE_AUTHORITY_DOCUMENT.E32.csv,ARCHES
FETCH_WINDOW.E55,FETCH_WINDOW_AUTHORITY_DOCUMENT.E32.csv,ARCHES
FETCH_DISTANCE.E55,FETCH_DISTANCE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OILED_DEBRIS.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
FAST_ICE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
TIDAL_CRACKS.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
PIT_SUBSTRATE.E55,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SSCAT_SEABED_OILING.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
OPERATIONAL_ISSUES.E55,OPERATIONAL_ISSUES_AUTHORITY_DOCUMENT.E32.csv,ARCHES
ECOLOGICAL_CONCERNS.E55,ECOLOGICAL_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,ARCHES
CULTURAL_CONCERNS.E55,CULTURAL_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SAFETY_CONCERNS.E55,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,ARCHES
CLEANUP_RECOMMENDATIONS.E55,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,ARCHES
MEDIA_TAGS.E55,MEDIA_TAGS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OPERATIONAL_ACCESS_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
OPERATIONAL_ACCESS.E55,OPERATIONAL_ACCESS_AUTHORITY_DOCUMENT.E32.csv,POLARIS
PRIMARY_BACKSHORE_SUBSTRATE_TYPE.E55,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
UITZ_SHORELINE.E55,SHORELINE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
UITZ_SHORELINE_TYPE.E55,SHORELINE_TYPE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SURVEYED_AREAS_NOO.E55,SURVEYED_AREAS_NOO_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ENTIRE_SEGMENT_SURVEYED.E55,ENTIRE_SEGMENT_SURVEYED_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ADMINISTRATIVE_SUBDIVISION_TYPE.E55,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SITE_ACCESS_STAGING.E55,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SITE_ACCESS_STAGING_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SITE_ACCESS_INTERTIDAL.E55,SITE_ACCESS_INTERTIDAL_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SITE_ACCESS_INTERTIDAL_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SITE_ACCESS_SUBTIDAL.E55,SITE_ACCESS_SUBTIDAL_AUTHORITY_DOCUMENT.E32.csv,ARCHES
SITE_ACCESS_SUBTIDAL_TYPE.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,ARCHES
RESOURCE_REPRESENTATIVE_LOCATION.E55,BOOLEAN_AUTHORITY_DOCUMENT.E32.csv,POLARIS
ZONE_OILING_CATEGORY.E55,OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
PIT_OILING_CATEGORY.E55,OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
SNOW_OR_ICE_CONDITION_CATEGORY.E55,SNOW_OR_ICE_CONDITION_CATEGORY_AUTHORITY_DOCUMENT.E32.csv,POLARIS
STREAM_BED_FEATURE.E55,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,POLARIS
